Row,OverallOrder,ChildIntOrder,Child,aclew_id,Media,Status,Include,Sample,CodeName,Notes
128,1,1,M-F29-C01,8787,M-F29-C01_121847_040051_000500,1-XunPt1,1,random_5mindur_summer2017,random-4,
129,44,5,M-F29-C01,8787,M-F29-C01_122406_040610_000500,0-Pass1,1,random_5mindur_summer2017,random-5,
130,312,28,M-F29-C01,8787,M-F29-C01_123157_041401_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-2,
131,28,3,M-F29-C01,8787,M-F29-C01_133853_052057_000500,1-XunPt1,1,random_5mindur_summer2017,random-6,
132,313,29,M-F29-C01,8787,M-F29-C01_142128_060332_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-3,
133,314,30,M-F29-C01,8787,M-F29-C01_151113_065317_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-3,
134,315,31,M-F29-C01,8787,M-F29-C01_151213_065417_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-4,
135,78,8,M-F29-C01,8787,M-F29-C01_152301_070505_000500,0-Pass1,1,random_5mindur_summer2017,random-7,
136,14,2,M-F29-C01,8787,M-F29-C01_154734_072938_000500,1-XunPt1,1,random_5mindur_summer2017,random-8,
137,316,32,M-F29-C01,8787,M-F29-C01_160435_074639_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-4,
138,317,33,M-F29-C01,8787,M-F29-C01_160644_074848_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-5,
139,70,7,M-F29-C01,8787,M-F29-C01_162725_080929_000500,0-Pass1,1,random_5mindur_summer2017,random-9,
140,318,34,M-F29-C01,8787,M-F29-C01_180140_094344_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-5,
141,320,25,M-F37-C02,2625,M-F37-C02_093505_004156_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-1,
142,321,26,M-F37-C02,2625,M-F37-C02_093830_004521_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-2,
143,45,5,M-F37-C02,2625,M-F37-C02_101217_011908_000500,0-Pass1,1,random_5mindur_summer2017,random-1,
144,322,27,M-F37-C02,2625,M-F37-C02_111750_022441_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-1,
145,323,28,M-F37-C02,2625,M-F37-C02_111850_022541_000100,0-Pass1,0,highTTG_1mindur_summer2017,tt-2,dropped because included in extension: M-F37-C02_111850_022541.mp4
146,330,35,M-F37-C02,2625,M-F37-C02_111850_022541_000600,0-Pass1,1,highTTG_6mindur_summer2017,extension_tt-2,(inclusive) extension of M-F37-C02_111850_022541.mp4
147,63,7,M-F37-C02,2625,M-F37-C02_113047_023738_000500,0-Pass1,1,random_5mindur_summer2017,random-2,
148,331,36,M-F37-C02,2625,M-F37-C02_113923_024614_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-3,substitute for M-F37-C02_122826_033517.mp4
149,12,2,M-F37-C02,2625,M-F37-C02_121706_032357_000500,1-XunPt1,1,random_5mindur_summer2017,random-3,
150,9,1,M-F37-C02,2625,M-F37-C02_122426_033117_000500,1-XunPt1,1,random_5mindur_summer2017,random-4,
151,22,3,M-F37-C02,2625,M-F37-C02_132635_043326_000500,1-XunPt1,1,random_5mindur_summer2017,random-5,
152,325,30,M-F37-C02,2625,M-F37-C02_133135_043826_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-3,
153,326,31,M-F37-C02,2625,M-F37-C02_135535_050226_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-4,
154,110,11,M-F37-C02,2625,M-F37-C02_140048_050739_000500,0-Pass1,1,random_5mindur_summer2017,random-6,
155,91,10,M-F37-C02,2625,M-F37-C02_162914_073605_000500,0-Pass1,1,random_5mindur_summer2017,random-7,
156,83,9,M-F37-C02,2625,M-F37-C02_172001_082652_000500,0-Pass1,1,random_5mindur_summer2017,random-8,
157,40,4,M-F37-C02,2625,M-F37-C02_174923_085614_000500,0-Pass1,1,random_5mindur_summer2017,random-9,
158,327,32,M-F37-C02,2625,M-F37-C02_175455_090146_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-5,
159,328,33,M-F37-C02,2625,M-F37-C02_175811_090502_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-4,
160,329,34,M-F37-C02,2625,M-F37-C02_180543_091234_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-5,
161,53,6,M-F40-C01,0643,M-F40-C01_085141_003226_000500,0-Pass1,1,random_5mindur_summer2017,random-1,
162,41,5,M-F40-C01,0643,M-F40-C01_094121_012206_000500,0-Pass1,1,random_5mindur_summer2017,random-2,
163,332,25,M-F40-C01,0643,M-F40-C01_100713_014758_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-1,
