Row,OverallOrder,ChildIntOrder,Child,aclew_id,old_media_name,Status,Include,Sample,CodeName,Notes,start.hhmmss,newoffset,Media
117,305,32,M-F19-C01,6216,M-F19-C01_163552_065534_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-5,NA,163552,161522,M-F19-C01_161522_065534_000100
118,306,33,M-F19-C01,6216,M-F19-C01_164243_070225_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-4,NA,164243,162213,M-F19-C01_162213_070225_000100
119,307,34,M-F19-C01,6216,M-F19-C01_171541_073523_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-5,NA,171541,165511,M-F19-C01_165511_073523_000100
120,24,3,M-F19-C01,6216,M-F19-C01_174328_080310_000500,1-XunPt1,1,random_5mindur_summer2017,random-9,NA,174328,172258,M-F19-C01_172258_080310_000500
121,170,17,M-F29-C01,8787,M-F29-C01_092132_010336_000500,0-Pass1,1,random_5mindur_summer2017,random-1,NA,092132,085904,M-F29-C01_085904_010336_000500
122,309,25,M-F29-C01,8787,M-F29-C01_094054_012258_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-1,NA,094054,091826,M-F29-C01_091826_012258_000100
123,34,4,M-F29-C01,8787,M-F29-C01_095607_013811_000500,0-Pass1,1,random_5mindur_summer2017,random-2,NA,095607,093339,M-F29-C01_093339_013811_000500
124,310,26,M-F29-C01,8787,M-F29-C01_104828_023032_000100,0-Pass1,0,highTTG_1mindur_summer2017,tt-2,dropped because included in extension: M-F29-C01_104828_023032.mp4,104828,102600,M-F29-C01_102600_023032_000100
125,319,35,M-F29-C01,8787,M-F29-C01_104828_023032_000600,0-Pass1,1,highTTG_6mindur_summer2017,extension_tt-2,(inclusive) extension of M-F29-C01_104828_023032.mp4,104828,102600,M-F29-C01_102600_023032_000600
126,311,27,M-F29-C01,8787,M-F29-C01_105608_023812_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-1,NA,105608,103340,M-F29-C01_103340_023812_000100
127,84,9,M-F29-C01,8787,M-F29-C01_114421_032625_000500,No speech,1,random_5mindur_summer2017,random-3,NA,114421,112153,M-F29-C01_112153_032625_000500
128,1,1,M-F29-C01,8787,M-F29-C01_121847_040051_000500,1-XunPt1,1,random_5mindur_summer2017,random-4,NA,121847,115619,M-F29-C01_115619_040051_000500
129,44,5,M-F29-C01,8787,M-F29-C01_122406_040610_000500,0-Pass1,1,random_5mindur_summer2017,random-5,NA,122406,120138,M-F29-C01_120138_040610_000500
130,312,28,M-F29-C01,8787,M-F29-C01_123157_041401_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-2,NA,123157,120929,M-F29-C01_120929_041401_000100
131,28,3,M-F29-C01,8787,M-F29-C01_133853_052057_000500,1-XunPt1,1,random_5mindur_summer2017,random-6,NA,133853,131625,M-F29-C01_131625_052057_000500
132,313,29,M-F29-C01,8787,M-F29-C01_142128_060332_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-3,NA,142128,135900,M-F29-C01_135900_060332_000100
133,314,30,M-F29-C01,8787,M-F29-C01_151113_065317_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-3,NA,151113,144845,M-F29-C01_144845_065317_000100
134,315,31,M-F29-C01,8787,M-F29-C01_151213_065417_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-4,NA,151213,144945,M-F29-C01_144945_065417_000100
135,78,8,M-F29-C01,8787,M-F29-C01_152301_070505_000500,0-Pass1,1,random_5mindur_summer2017,random-7,NA,152301,150033,M-F29-C01_150033_070505_000500
136,14,2,M-F29-C01,8787,M-F29-C01_154734_072938_000500,1-XunPt1,1,random_5mindur_summer2017,random-8,NA,154734,152506,M-F29-C01_152506_072938_000500
137,316,32,M-F29-C01,8787,M-F29-C01_160435_074639_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-4,NA,160435,154207,M-F29-C01_154207_074639_000100
138,317,33,M-F29-C01,8787,M-F29-C01_160644_074848_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-5,NA,160644,154416,M-F29-C01_154416_074848_000100
139,70,7,M-F29-C01,8787,M-F29-C01_162725_080929_000500,0-Pass1,1,random_5mindur_summer2017,random-9,NA,162725,160457,M-F29-C01_160457_080929_000500
140,318,34,M-F29-C01,8787,M-F29-C01_180140_094344_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-5,NA,180140,173912,M-F29-C01_173912_094344_000100
141,320,25,M-F37-C02,2625,M-F37-C02_093505_004156_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-1,NA,093505,090437,M-F37-C02_090437_004156_000100
